"Team 1";"Team 2";"Score";"Etapa"
"TSM";"GG";"0 - 3";"Round 1"
"FLY";"EG";"3 - 2";"Round 1"
"DIG";"TSM";"0 - 3";"Round 1"
"100";"EG";"0 - 3";"Round 1"
"C9";"FLY";"1 - 3";"Round 2"
"TL";"GG";"3 - 0";"Round 2"
"EG";"C9";"0 - 3";"Round 2"
"TSM";"GG";"3 - 2";"Round 2"
"TSM";"C9";"TBD";"Round 3"
"TL";"FLY";"TBD";"Round 4"
"TBD";"TBD";"TBD";"Round 4"
"TBD";"TBD";"TBD";"Finals"
