"Team 1";"Team 2";"Score";"Etapa"
"CGA";"SHG";"3 - 1";"Round 1"
"DFM";"BC";"3 - 2";"Round 1"
"V3";"SG";"3 - 1";"Round 2"
"CGA";"DFM";"1 - 3";"Round 2"
"SG";"DFM";"TBD";"Round 3"
"V3";"TBD";"TBD";"Finals"
