"Team 1";"Team 2";"Score";"Etapa"
"C9";"KBM";"1 - 0";"Day 1"
"GMB";"GRX";"0 - 1";"Day 1"
"DFM";"KBM";"1 - 0";"Day 1"
"GRX";"KLG";"1 - 0";"Day 1"
"DFM";"C9";"0 - 1";"Day 1"
"GMB";"KLG";"1 - 0";"Day 1"
"EDG";"INF";"1 - 0";"Day 2"
"G2";"SUP";"0 - 1";"Day 2"
"DW";"INF";"1 - 0";"Day 2"
"ASC";"SUP";"0 - 1";"Day 2"
"DW";"EDG";"0 - 1";"Day 2"
"ASC";"G2";"0 - 1";"Day 2"
"GRX";"GMB";"1 - 0";"Day 3"
"KBM";"DFM";"1 - 0";"Day 3"
"KLG";"GMB";"0 - 1";"Day 3"
"KBM";"C9";"0 - 1";"Day 3"
"KLG";"GRX";"0 - 1";"Day 3"
"C9";"DFM";"1 - 0";"Day 3"
"DFM";"KBM";"1 - 0";"Day 3"
"SUP";"G2";"0 - 1";"Day 4"
"INF";"EDG";"1 - 0";"Day 4"
"SUP";"ASC";"1 - 0";"Day 4"
"INF";"DW";"1 - 0";"Day 4"
"G2";"ASC";"1 - 0";"Day 4"
"EDG";"DW";"1 - 0";"Day 4"
"G2";"SUP";"1 - 0";"Day 4"
"C9";"GMB";"3 - 2";"Round 2"
"EDG";"DFM";"3 - 0";"Round 2"
"G2";"INF";"3 - 1";"Round 2"
"GRX";"SUP";"3 - 1";"Round 2"
"KT";"TL";"1 - 0";"Day 1"
"EDG";"MAD";"1 - 0";"Day 1"
"PVB";"FW";"0 - 1";"Day 1"
"AF";"G2";"0 - 1";"Day 1"
"RNG";"C9";"1 - 0";"Day 1"
"GEN";"VIT";"0 - 1";"Day 1"
"FW";"AF";"1 - 0";"Day 2"
"PVB";"G2";"1 - 0";"Day 2"
"100";"FNC";"0 - 1";"Day 2"
"iG";"GRX";"1 - 0";"Day 2"
"VIT";"C9";"0 - 1";"Day 2"
"GEN";"RNG";"0 - 1";"Day 2"
"MAD";"KT";"0 - 1";"Day 3"
"TL";"EDG";"0 - 1";"Day 3"
"FNC";"iG";"0 - 1";"Day 3"
"100";"GRX";"1 - 0";"Day 3"
"RNG";"VIT";"1 - 0";"Day 3"
"C9";"GEN";"0 - 1";"Day 3"
"AF";"PVB";"1 - 0";"Day 4"
"G2";"FW";"1 - 0";"Day 4"
"iG";"100";"1 - 0";"Day 4"
"GRX";"FNC";"0 - 1";"Day 4"
"TL";"MAD";"1 - 0";"Day 4"
"KT";"EDG";"1 - 0";"Day 4"
"VIT";"RNG";"1 - 0";"Day 5"
"GEN";"C9";"0 - 1";"Day 5"
"VIT";"GEN";"1 - 0";"Day 5"
"C9";"RNG";"1 - 0";"Day 5"
"C9";"VIT";"1 - 0";"Day 5"
"RNG";"GEN";"1 - 0";"Day 5"
"AF";"FW";"1 - 0";"Day 6"
"G2";"PVB";"1 - 0";"Day 6"
"FW";"G2";"1 - 0";"Day 6"
"PVB";"AF";"0 - 1";"Day 6"
"FW";"PVB";"0 - 1";"Day 6"
"G2";"AF";"0 - 1";"Day 6"
"TL";"KT";"0 - 1";"Day 7"
"MAD";"EDG";"0 - 1";"Day 7"
"MAD";"TL";"0 - 1";"Day 7"
"EDG";"KT";"1 - 0";"Day 7"
"EDG";"TL";"0 - 1";"Day 7"
"KT";"MAD";"1 - 0";"Day 7"
"FNC";"100";"1 - 0";"Day 8"
"GRX";"iG";"0 - 1";"Day 8"
"FNC";"GRX";"1 - 0";"Day 8"
"100";"iG";"0 - 1";"Day 8"
"GRX";"100";"0 - 1";"Day 8"
"iG";"FNC";"0 - 1";"Day 8"
"RNG";"C9";"1 - 0";"Tiebreakers"
"FW";"G2";"0 - 1";"Tiebreakers"
"FNC";"iG";"1 - 0";"Tiebreakers"
"KT";"iG";"2 - 3";"Quarterfinals"
"RNG";"G2";"2 - 3";"Quarterfinals"
"AF";"C9";"0 - 3";"Quarterfinals"
"FNC";"EDG";"3 - 1";"Quarterfinals"
"G2";"iG";"0 - 3";"Semifinals"
"C9";"FNC";"0 - 3";"Semifinals"
"FNC";"iG";"0 - 3";"Finals"
