"Team 1";"Team 2";"Score";"Etapa"
"WE";"LYN";"1 - 0";"Day 1"
"C9";"ONE";"1 - 0";"Day 1"
"GMB";"LYN";"0 - 1";"Day 1"
"DW";"C9";"0 - 1";"Day 1"
"GMB";"WE";"0 - 1";"Day 1"
"DW";"ONE";"1 - 0";"Day 1"
"ONE";"C9";"0 - 1";"Day 2"
"LYN";"WE";"0 - 1";"Day 2"
"C9";"DW";"1 - 0";"Day 2"
"LYN";"GMB";"1 - 0";"Day 2"
"ONE";"DW";"1 - 0";"Day 2"
"WE";"GMB";"1 - 0";"Day 2"
"DW";"ONE";"0 - 1";"Day 2"
"YGE";"KLG";"0 - 1";"Day 3"
"RPG";"HKA";"0 - 1";"Day 3"
"FNC";"KLG";"1 - 0";"Day 3"
"HKA";"FB";"0 - 1";"Day 3"
"YGE";"FNC";"0 - 1";"Day 3"
"RPG";"FB";"0 - 1";"Day 3"
"HKA";"RPG";"1 - 0";"Day 4"
"KLG";"YGE";"0 - 1";"Day 4"
"FB";"RPG";"1 - 0";"Day 4"
"KLG";"FNC";"0 - 1";"Day 4"
"FB";"HKA";"0 - 1";"Day 4"
"FNC";"YGE";"0 - 1";"Day 4"
"HKA";"FB";"0 - 1";"Day 4"
"C9";"LYN";"3 - 0";"Round 2"
"FNC";"HKA";"3 - 0";"Round 2"
"FB";"ONE";"3 - 1";"Round 2"
"WE";"YGE";"3 - 0";"Round 2"
"RNG";"FB";"1 - 0";"Day 1"
"G2";"SSG";"0 - 1";"Day 1"
"LZ";"IMT";"1 - 0";"Day 1"
"FNC";"GAM";"0 - 1";"Day 1"
"SKT";"C9";"1 - 0";"Day 1"
"EDG";"ahq";"0 - 1";"Day 1"
"FW";"TSM";"0 - 1";"Day 2"
"WE";"MSF";"1 - 0";"Day 2"
"IMT";"FNC";"1 - 0";"Day 2"
"LZ";"GAM";"1 - 0";"Day 2"
"ahq";"C9";"0 - 1";"Day 2"
"EDG";"SKT";"0 - 1";"Day 2"
"TSM";"WE";"1 - 0";"Day 3"
"FW";"MSF";"0 - 1";"Day 3"
"G2";"FB";"1 - 0";"Day 3"
"SSG";"RNG";"0 - 1";"Day 3"
"SKT";"ahq";"1 - 0";"Day 3"
"C9";"EDG";"1 - 0";"Day 3"
"WE";"FW";"1 - 0";"Day 4"
"MSF";"TSM";"1 - 0";"Day 4"
"GAM";"IMT";"0 - 1";"Day 4"
"FNC";"LZ";"0 - 1";"Day 4"
"FB";"SSG";"0 - 1";"Day 4"
"RNG";"G2";"1 - 0";"Day 4"
"IMT";"GAM";"0 - 1";"Day 5"
"LZ";"FNC";"1 - 0";"Day 5"
"FNC";"IMT";"1 - 0";"Day 5"
"GAM";"LZ";"0 - 1";"Day 5"
"GAM";"FNC";"0 - 1";"Day 5"
"IMT";"LZ";"0 - 1";"Day 5"
"G2";"RNG";"1 - 0";"Day 6"
"SSG";"FB";"1 - 0";"Day 6"
"SSG";"G2";"1 - 0";"Day 6"
"FB";"RNG";"0 - 1";"Day 6"
"FB";"G2";"0 - 1";"Day 6"
"RNG";"SSG";"1 - 0";"Day 6"
"MSF";"FW";"1 - 0";"Day 7"
"WE";"TSM";"1 - 0";"Day 7"
"FW";"WE";"0 - 1";"Day 7"
"TSM";"MSF";"1 - 0";"Day 7"
"TSM";"FW";"0 - 1";"Day 7"
"MSF";"WE";"0 - 1";"Day 7"
"MSF";"TSM";"1 - 0";"Day 7"
"ahq";"SKT";"1 - 0";"Day 8"
"EDG";"C9";"1 - 0";"Day 8"
"ahq";"EDG";"0 - 1";"Day 8"
"C9";"SKT";"0 - 1";"Day 8"
"C9";"ahq";"1 - 0";"Day 8"
"SKT";"EDG";"1 - 0";"Day 8"
"LZ";"SSG";"0 - 3";"Quarterfinals"
"SKT";"MSF";"3 - 2";"Quarterfinals"
"RNG";"FNC";"3 - 1";"Quarterfinals"
"WE";"C9";"3 - 2";"Quarterfinals"
"SKT";"RNG";"3 - 2";"Semifinals"
"SSG";"WE";"3 - 1";"Semifinals"
"SKT";"SSG";"0 - 3";"Finals"
