"Team 1";"Team 2";"Score";"Etapa"
"aAa";"EPIK";"0 - 1";"Group Stage"
"FNC";"PCFC";"1 - 0";"Group Stage"
"aAa";"FNC";"1 - 0";"Group Stage"
"EPIK";"PCFC";"1 - 0";"Group Stage"
"aAa";"PCFC";"1 - 0";"Group Stage"
"EPIK";"FNC";"1 - 0";"Group Stage"
"TSM";"XAN";"0 - 1";"Group Stage"
"gamed!de";"CLG";"0 - 1";"Group Stage"
"gamed!de";"XAN";"1 - 0";"Group Stage"
"TSM";"CLG";"1 - 0";"Group Stage"
"TSM";"gamed!de";"1 - 0";"Group Stage"
"CLG";"XAN";"1 - 0";"Group Stage"
"aAa";"gamed!de";"2 - 0";"Round 1"
"CLG";"FNC";"1 - 2";"Round 1"
"gamed!de";"CLG";"0 - 1";"5th Place"
"aAa";"TSM";"2 - 1";"Round 2"
"EPIK";"FNC";"0 - 2";"Round 2"
"TSM";"EPIK";"2 - 0";"Round 2"
"aAa";"FNC";"0 - 2";"Round 3"
"aAa";"TSM";"2 - 0";"Round 3"
"FNC";"aAa";"2 - 1";"Finals"
