"Team 1";"Team 2";"Score";"Etapa"
"G2";"CLG";"0 - 1";"Day 1"
"ROX";"ANX";"1 - 0";"Day 1"
"H2K";"ahq";"0 - 1";"Day 1"
"ITZ";"EDG";"1 - 0";"Day 1"
"SSG";"SPY";"1 - 0";"Day 1"
"TSM";"RNG";"0 - 1";"Day 1"
"SKT";"C9";"1 - 0";"Day 2"
"FW";"IM";"0 - 1";"Day 2"
"TSM";"SSG";"1 - 0";"Day 2"
"RNG";"SPY";"1 - 0";"Day 2"
"H2K";"ITZ";"1 - 0";"Day 2"
"EDG";"ahq";"1 - 0";"Day 2"
"CLG";"ANX";"0 - 1";"Day 3"
"ROX";"G2";"1 - 0";"Day 3"
"FW";"C9";"0 - 1";"Day 3"
"IM";"SKT";"0 - 1";"Day 3"
"SPY";"TSM";"0 - 1";"Day 3"
"RNG";"SSG";"0 - 1";"Day 3"
"ahq";"ITZ";"1 - 0";"Day 4"
"EDG";"H2K";"1 - 0";"Day 4"
"ANX";"G2";"1 - 0";"Day 4"
"CLG";"ROX";"1 - 0";"Day 4"
"SKT";"FW";"0 - 1";"Day 4"
"C9";"IM";"1 - 0";"Day 4"
"G2";"ROX";"0 - 1";"Day 5"
"ANX";"CLG";"1 - 0";"Day 5"
"CLG";"G2";"1 - 0";"Day 5"
"ANX";"ROX";"1 - 0";"Day 5"
"G2";"ANX";"1 - 0";"Day 5"
"ROX";"CLG";"1 - 0";"Day 5"
"ROX";"ANX";"1 - 0";"Day 5"
"EDG";"ITZ";"1 - 0";"Day 6"
"ahq";"H2K";"0 - 1";"Day 6"
"H2K";"EDG";"1 - 0";"Day 6"
"ITZ";"ahq";"0 - 1";"Day 6"
"ITZ";"H2K";"0 - 1";"Day 6"
"ahq";"EDG";"0 - 1";"Day 6"
"SSG";"TSM";"1 - 0";"Day 7"
"SPY";"RNG";"1 - 0";"Day 7"
"TSM";"SPY";"1 - 0";"Day 7"
"SSG";"RNG";"1 - 0";"Day 7"
"SPY";"SSG";"0 - 1";"Day 7"
"RNG";"TSM";"1 - 0";"Day 7"
"IM";"FW";"1 - 0";"Day 8"
"C9";"SKT";"0 - 1";"Day 8"
"C9";"FW";"0 - 1";"Day 8"
"SKT";"IM";"1 - 0";"Day 8"
"IM";"C9";"0 - 1";"Day 8"
"FW";"SKT";"0 - 1";"Day 8"
"SSG";"C9";"3 - 0";"Quarterfinals"
"SKT";"RNG";"3 - 1";"Quarterfinals"
"ROX";"EDG";"3 - 1";"Quarterfinals"
"H2K";"ANX";"3 - 0";"Quarterfinals"
"SKT";"ROX";"3 - 2";"Semifinals"
"SSG";"H2K";"3 - 0";"Semifinals"
"SKT";"SSG";"3 - 2";"Finals"
