"Team 1";"Team 2";"Score";"Etapa"
"EDG";"SSW";"0 - 1";"Day 1"
"TSM";"SK";"1 - 0";"Day 1"
"DP";"ahq";"0 - 1";"Day 1"
"TPA";"SHR";"0 - 1";"Day 1"
"SSW";"ahq";"1 - 0";"Day 1"
"SHR";"TSM";"1 - 0";"Day 1"
"TPA";"SK";"1 - 0";"Day 2"
"EDG";"DP";"1 - 0";"Day 2"
"SHR";"SK";"1 - 0";"Day 2"
"DP";"SSW";"0 - 1";"Day 2"
"TSM";"TPA";"1 - 0";"Day 2"
"EDG";"ahq";"1 - 0";"Day 2"
"SSW";"DP";"1 - 0";"Day 3"
"SK";"SHR";"0 - 1";"Day 3"
"ahq";"SSW";"0 - 1";"Day 3"
"TPA";"TSM";"0 - 1";"Day 3"
"DP";"EDG";"0 - 1";"Day 3"
"SK";"TPA";"1 - 0";"Day 3"
"TSM";"SHR";"1 - 0";"Day 4"
"ahq";"DP";"1 - 0";"Day 4"
"SHR";"TPA";"1 - 0";"Day 4"
"ahq";"EDG";"1 - 0";"Day 4"
"SK";"TSM";"1 - 0";"Day 4"
"SSW";"EDG";"1 - 0";"Day 4"
"EDG";"ahq";"1 - 0";"Day 4"
"LMQ";"OMG";"1 - 0";"Day 5"
"NJWS";"KBM";"1 - 0";"Day 5"
"SSB";"OMG";"1 - 0";"Day 5"
"C9";"ALL";"1 - 0";"Day 5"
"FNC";"LMQ";"0 - 1";"Day 5"
"C9";"KBM";"1 - 0";"Day 5"
"NJWS";"ALL";"1 - 0";"Day 6"
"SSB";"FNC";"0 - 1";"Day 6"
"NJWS";"C9";"1 - 0";"Day 6"
"OMG";"FNC";"1 - 0";"Day 6"
"ALL";"KBM";"1 - 0";"Day 6"
"SSB";"LMQ";"1 - 0";"Day 6"
"FNC";"OMG";"0 - 1";"Day 7"
"ALL";"C9";"1 - 0";"Day 7"
"LMQ";"FNC";"0 - 1";"Day 7"
"KBM";"NJWS";"0 - 1";"Day 7"
"OMG";"SSB";"0 - 1";"Day 7"
"ALL";"NJWS";"1 - 0";"Day 7"
"KBM";"C9";"0 - 1";"Day 8"
"LMQ";"SSB";"0 - 1";"Day 8"
"KBM";"ALL";"1 - 0";"Day 8"
"FNC";"SSB";"0 - 1";"Day 8"
"C9";"NJWS";"1 - 0";"Day 8"
"OMG";"LMQ";"1 - 0";"Day 8"
"NJWS";"C9";"1 - 0";"Day 8"
"SSW";"TSM";"3 - 1";"Quarterfinals"
"SSB";"C9";"3 - 1";"Quarterfinals"
"SHR";"EDG";"3 - 2";"Quarterfinals"
"NJWS";"OMG";"0 - 3";"Quarterfinals"
"SSW";"SSB";"3 - 0";"Semifinals"
"SHR";"OMG";"3 - 2";"Semifinals"
"SSW";"SHR";"3 - 1";"Finals"
