"Team 1";"Team 2";"Score";"Etapa"
"FNC";"iG";"1 - 0";"Day 1"
"C9";"ahq";"1 - 0";"Day 1"
"SKT";"H2K";"1 - 0";"Day 1"
"EDG";"BKT";"1 - 0";"Day 1"
"CLG";"FW";"1 - 0";"Day 1"
"PNG";"KOO";"0 - 1";"Day 1"
"KT";"TSM";"1 - 0";"Day 2"
"LGD";"OG";"0 - 1";"Day 2"
"BKT";"SKT";"0 - 1";"Day 2"
"H2K";"EDG";"0 - 1";"Day 2"
"FW";"KOO";"1 - 0";"Day 2"
"CLG";"PNG";"1 - 0";"Day 2"
"EDG";"SKT";"0 - 1";"Day 3"
"H2K";"BKT";"1 - 0";"Day 3"
"LGD";"KT";"0 - 1";"Day 3"
"OG";"TSM";"1 - 0";"Day 3"
"iG";"C9";"0 - 1";"Day 3"
"ahq";"FNC";"1 - 0";"Day 3"
"TSM";"LGD";"1 - 0";"Day 4"
"KT";"OG";"0 - 1";"Day 4"
"iG";"ahq";"1 - 0";"Day 4"
"C9";"FNC";"1 - 0";"Day 4"
"KOO";"CLG";"1 - 0";"Day 4"
"PNG";"FW";"1 - 0";"Day 4"
"CLG";"KOO";"0 - 1";"Day 5"
"FW";"PNG";"1 - 0";"Day 5"
"KOO";"PNG";"1 - 0";"Day 5"
"FW";"CLG";"1 - 0";"Day 5"
"KOO";"FW";"0 - 1";"Day 5"
"PNG";"CLG";"1 - 0";"Day 5"
"SKT";"EDG";"1 - 0";"Day 6"
"BKT";"H2K";"0 - 1";"Day 6"
"BKT";"EDG";"0 - 1";"Day 6"
"H2K";"SKT";"0 - 1";"Day 6"
"EDG";"H2K";"1 - 0";"Day 6"
"SKT";"BKT";"1 - 0";"Day 6"
"TSM";"OG";"0 - 1";"Day 7"
"KT";"LGD";"1 - 0";"Day 7"
"TSM";"KT";"0 - 1";"Day 7"
"OG";"LGD";"0 - 1";"Day 7"
"OG";"KT";"0 - 1";"Day 7"
"LGD";"TSM";"1 - 0";"Day 7"
"ahq";"iG";"1 - 0";"Day 8"
"FNC";"C9";"1 - 0";"Day 8"
"ahq";"C9";"1 - 0";"Day 8"
"iG";"FNC";"0 - 1";"Day 8"
"C9";"iG";"0 - 1";"Day 8"
"FNC";"ahq";"1 - 0";"Day 8"
"C9";"ahq";"0 - 1";"Day 8"
"FW";"OG";"1 - 3";"Quarterfinals"
"SKT";"ahq";"3 - 0";"Quarterfinals"
"FNC";"EDG";"3 - 0";"Quarterfinals"
"KT";"KOO";"1 - 3";"Quarterfinals"
"OG";"SKT";"0 - 3";"Semifinals"
"FNC";"KOO";"0 - 3";"Semifinals"
"SKT";"KOO";"3 - 1";"Finals"
