"Team 1";"Team 2";"Score";"Etapa"
"AZF";"iG";"1 - 0";"Group Stage"
"CLG.P";"iG";"0 - 1";"Group Stage"
"AZF";"SK";"1 - 0";"Group Stage"
"SK";"CLG.P";"0 - 1";"Group Stage"
"CLG.P";"AZF";"0 - 1";"Group Stage"
"SK";"iG";"0 - 1";"Group Stage"
"DIG";"CLG.EU";"0 - 1";"Group Stage"
"NJ SWD";"SAJ";"1 - 0";"Group Stage"
"NJ SWD";"CLG.EU";"1 - 0";"Group Stage"
"DIG";"SAJ";"0 - 1";"Group Stage"
"CLG.EU";"SAJ";"1 - 0";"Group Stage"
"NJ SWD";"DIG";"1 - 0";"Group Stage"
"M5";"iG";"2 - 0";"Quarterfinals"
"TPA";"NJ SWD";"2 - 0";"Quarterfinals"
"TSM";"AZF";"0 - 2";"Quarterfinals"
"WE";"CLG.EU";"1 - 2";"Quarterfinals"
"M5";"TPA";"1 - 2";"Semifinals"
"AZF";"CLG.EU";"2 - 1";"Semifinals"
"TPA";"AZF";"3 - 1";"Finals"
