"Team 1";"Team 2";"Score";"Etapa"
"KT";"DWG";"1 - 2";"Round 1"
"DRX";"DWG";"3 - 2";"Round 2"
"T1";"DRX";"3 - 1";"Round 3"
"GEN";"T1";"0 - 3";"Finals"
