"Team 1";"Team 2";"Score";"Etapa"
"EG";"FLY";"3 - 1";"Round 1"
"C9";"100";"3 - 0";"Round 1"
"FLY";"GG";"3 - 0";"Round 1"
"100";"TSM";"2 - 3";"Round 1"
"C9";"EG";"3 - 1";"Round 2"
"TSM";"FLY";"2 - 3";"Round 2"
"EG";"FLY";"1 - 3";"Round 3"
"C9";"FLY";"3 - 0";"Finals"
